Metaprotein,mp_id,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number
LCF1_YEAST Long-chain-fatty-acid--CoA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA1 PE=1 SV=1,1333,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,UniRef50_P30624,K01897|
LCL3_MAGO7 Probable endonuclease LCL3 OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) GN=LCL3 PE=3 SV=2,1334,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthe,Magnaporthe oryzae,UniRef50_A7ECE0,|
LDH_BIFA0 L-lactate dehydrogenase OS=Bifidobacterium animalis subsp. lactis (strain AD011) GN=ldh PE=3 SV=1,1335,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis subsp. lactis AD011,UniRef50_B8DSV5,K00016|
LDH_LACS1 L-lactate dehydrogenase OS=Lactobacillus salivarius (strain UCC118) GN=ldh PE=3 SV=1,1336,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius,UniRef50_Q1WSG2,K00016|
LDH_LACSK L-lactate dehydrogenase OS=Lactobacillus sakei GN=ldh PE=3 SV=1,1337,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,unassigned,unassigned,unassigned,UniRef50_P04034,|K00016|
LDH_STRMU L-lactate dehydrogenase OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) GN=ldh PE=3 SV=2,1338,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,UniRef50_P26283,K00016|
LDH1_LISMF L-lactate dehydrogenase 1 OS=Listeria monocytogenes serotype 4b (strain F2365) GN=ldh1 PE=3 SV=1,1339,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,unassigned,UniRef50_P13714,K00016|
LDH2_BIFL2 L-lactate dehydrogenase 2 OS=Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b) GN=ldh2 PE=1 SV=1,1340,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unassigned,UniRef50_E8ME30,K00016|
LDH2_LACAC L-lactate dehydrogenase 2 OS=Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM) GN=ldh2 PE=3 SV=1,1341,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unassigned,UniRef50_Q03DZ7,K00016|
LDHA_PANTR L-lactate dehydrogenase A chain OS=Pan troglodytes GN=LDHA PE=2 SV=3,1342,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,UniRef50_Q5R1W9,K00016|
LDHA_PIG L-lactate dehydrogenase A chain OS=Sus scrofa GN=LDHA PE=1 SV=3,1343,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P00339,K00016|
LDHA_RAT L-lactate dehydrogenase A chain OS=Rattus norvegicus GN=Ldha PE=1 SV=1,1344,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P00338,K00016|
LDHA_SQUAC L-lactate dehydrogenase A chain OS=Squalus acanthias GN=ldha PE=1 SV=4,1345,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P00341,|
LDHA_XENLA L-lactate dehydrogenase A chain OS=Xenopus laevis GN=ldha PE=2 SV=2,1346,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,UniRef50_P00342,K00016|
LDHB_ANAPL L-lactate dehydrogenase B chain OS=Anas platyrhynchos GN=LDHB PE=1 SV=2,1347,Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,UniRef50_P13743,|
LDHB_MACFA L-lactate dehydrogenase B chain OS=Macaca fascicularis GN=LDHB PE=2 SV=3,1348,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,UniRef50_P07195,K00016|
LDHC_PIG L-lactate dehydrogenase C chain OS=Sus scrofa GN=LDHC PE=2 SV=3,1349,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P42123,K00016|
LDHD_LACDA D-lactate dehydrogenase OS=Lactobacillus delbrueckii subsp. bulgaricus (strain ATCC 11842 / DSM 20081 / JCM 1002 / NBRC 13953 / NCIMB 11778) GN=ldhA PE=1 SV=3,1350,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unassigned,UniRef50_P26297,K03778|
LEA1_PHAVU Alpha-amylase inhibitor 1 OS=Phaseolus vulgaris GN=LLP PE=1 SV=1,1351,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,UniRef50_P02873,|
LEC_LENCO Lectin OS=Lens culinaris subsp. orientalis PE=3 SV=2,1352,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_P02870,|
LEC_LEUMI Lectin OS=Leucomphalos mildbraedii PE=1 SV=1,1353,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Leucomphalos,Leucomphalos mildbraedii,UniRef50_Q70DJ5,|
LECB_LATOC Lectin beta-1 and beta-2 chains OS=Lathyrus ochrus PE=1 SV=1,1354,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Lathyrus,Lathyrus ochrus,UniRef50_P04122,|
LEG_CICAR Legumin OS=Cicer arietinum GN=leg3 PE=1 SV=1,1355,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_P04405,|
PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,1356,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P12955,K14213|
S10A2_HUMAN Protein S100-A2 OS=Homo sapiens GN=S100A2 PE=1 SV=3,1357,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P29034,|
LEG3_HUMAN Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,1358,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P17931,|
LEG3_RABIT Galectin-3 OS=Oryctolagus cuniculus GN=LGALS3 PE=2 SV=2,1359,Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,UniRef50_P47845,K06831|
ARSA_HUMAN Arylsulfatase A OS=Homo sapiens GN=ARSA PE=1 SV=3,1360,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P15289,K01134|
LEG4_MOUSE Galectin-4 OS=Mus musculus GN=Lgals4 PE=1 SV=2,1361,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P38552,K10091|
LEGB_GOSHI Legumin B OS=Gossypium hirsutum GN=LEGB PE=2 SV=1,1362,Eukaryota,Viridiplantae,Streptophyta,unassigned,Malvales,Malvaceae,Gossypium,Gossypium hirsutum,UniRef50_P09800,|
LEGB_PEA Legumin B (Fragment) OS=Pisum sativum GN=LEGB PE=2 SV=1,1363,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_P14594,|
LEGJ_PEA Legumin J OS=Pisum sativum GN=LEGJ PE=1 SV=1,1364,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Pisum,Pisum sativum,UniRef50_P05190,|
LEGRE_VIGUN Leghemoglobin reductase OS=Vigna unguiculata GN=FLBR PE=1 SV=1,1365,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P09622,|
LEPA_RHOS4 Elongation factor 4 OS=Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158) GN=lepA PE=3 SV=2,1366,Bacteria,unassigned,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,UniRef50_B9GHA6,K03596|
LEU1_PARD8 2-isopropylmalate synthase OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=leuA PE=3 SV=1,1367,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides distasonis,UniRef50_A6LDN1,K01649|
LEU3_BACFR 3-isopropylmalate dehydrogenase OS=Bacteroides fragilis (strain YCH46) GN=leuB PE=3 SV=1,1368,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,UniRef50_Q8A6M0,K00052|
LEU3_BIFLS 3-isopropylmalate dehydrogenase OS=Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12) GN=leuB PE=3 SV=1,1369,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222,UniRef50_B3DTF8,K00052|
LEU3_BURMA 3-isopropylmalate dehydrogenase OS=Burkholderia mallei (strain ATCC 23344) GN=leuB PE=3 SV=1,1370,Bacteria,unassigned,Proteobacteria,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P30125,K00052|
LEU3_CANAX 3-isopropylmalate dehydrogenase OS=Candida albicans GN=LEU2 PE=3 SV=1,1371,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unassigned,Candida,Candida albicans,UniRef50_P18869,|
LEU3_KODOH 3-isopropylmalate dehydrogenase OS=Kodamaea ohmeri GN=LEU2 PE=3 SV=1,1372,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,Kodamaea ohmeri,UniRef50_P34738,|
LEU3_RALSO 3-isopropylmalate dehydrogenase OS=Ralstonia solanacearum (strain GMI1000) GN=leuB PE=3 SV=2,1373,Bacteria,unassigned,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,UniRef50_Q56268,K00052|
LEU31_BRADU 3-isopropylmalate dehydrogenase 1 OS=Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110) GN=leuB1 PE=3 SV=2,1374,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,UniRef50_Q89XA0,K00052|
LEUC_BACFN 3-isopropylmalate dehydratase large subunit OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343) GN=leuC PE=3 SV=1,1375,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned,UniRef50_Q02142,K01703|
LEUD_HELHP 3-isopropylmalate dehydratase small subunit OS=Helicobacter hepaticus (strain ATCC 51449 / 3B1) GN=leuD PE=3 SV=1,1376,Bacteria,unassigned,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter hepaticus,UniRef50_Q0QLE1,K01704|
LEUD_THET2 3-isopropylmalate dehydratase small subunit OS=Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039) GN=leuD PE=3 SV=1,1377,Bacteria,unassigned,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,UniRef50_Q9ZND4,K01704|
LG3BP_PONAB Galectin-3-binding protein OS=Pongo abelii GN=LGALS3BP PE=1 SV=1,1378,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_Q08380,|K17300|
LGT_THEPX Prolipoprotein diacylglyceryl transferase OS=Thermoanaerobacter sp. (strain X514) GN=lgt PE=3 SV=1,1379,Bacteria,unassigned,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter sp. X514,UniRef50_Q8R980,K13292|
LIFO_BURCM Lipase chaperone OS=Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) GN=lifO PE=3 SV=1,1380,Bacteria,unassigned,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ambifaria,UniRef50_Q9ZEM5,|
LIN5_CAEEL Spindle apparatus protein lin-5 OS=Caenorhabditis elegans GN=lin-5 PE=1 SV=2,1381,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis elegans,UniRef50_P45970,|
LIP3_MORS1 Lipase 3 OS=Moraxella sp. (strain TA144) GN=lip3 PE=1 SV=1,1382,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella sp. TA144,UniRef50_P24640,|
LIPG_RAT Gastric triacylglycerol lipase OS=Rattus norvegicus GN=Lipf PE=1 SV=1,1383,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P04634,K14452|
LIPP_HORSE Pancreatic triacylglycerol lipase (Fragment) OS=Equus caballus GN=PNLIP PE=1 SV=2,1384,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P00591,|
LIPP_ICTTR Pancreatic triacylglycerol lipase OS=Ictidomys tridecemlineatus GN=PNLIP PE=1 SV=2,1385,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P54318,K14075|
LIPP_RAT Pancreatic triacylglycerol lipase OS=Rattus norvegicus GN=Pnlip PE=1 SV=1,1386,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P27657,K14073|
LIPR1_CANLF Inactive pancreatic lipase-related protein 1 OS=Canis lupus familiaris GN=PNLIPRP1 PE=1 SV=2,1387,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,UniRef50_P06857,K14074|
LKHA4_MOUSE Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4,1388,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,UniRef50_P09960,|
"LNPA_BIFL2 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase OS=Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b) GN=lnpA PE=1 SV=1",1389,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum subsp. longum JCM 1217,UniRef50_E8MF13,K15533|
LON2_DESPS Lon protease 2 OS=Desulfotalea psychrophila (strain LSv54 / DSM 12343) GN=lon2 PE=3 SV=1,1390,Bacteria,unassigned,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,Desulfotalea psychrophila,UniRef50_P37945,K01338|
LOX1_ORYSJ Linoleate 9S-lipoxygenase 1 OS=Oryza sativa subsp. japonica GN=Os03g0699700 PE=2 SV=2,1391,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,UniRef50_P29250,K15718|
LOX11_SOLTU Linoleate 9S-lipoxygenase 1 OS=Solanum tuberosum GN=LOX1.1 PE=2 SV=1,1392,Eukaryota,Viridiplantae,Streptophyta,unassigned,Solanales,Solanaceae,Solanum,Solanum tuberosum,UniRef50_O24379,|K15718|
LOXA_PHAVU Linoleate 9S-lipoxygenase 1 OS=Phaseolus vulgaris GN=LOXA PE=3 SV=1,1393,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_P08170,|
PRG3_HUMAN Proteoglycan 3 OS=Homo sapiens GN=PRG3 PE=1 SV=2,1394,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q9Y2Y8,|
LPH_RAT Lactase-phlorizin hydrolase OS=Rattus norvegicus GN=Lct PE=2 SV=2,1395,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q02401,|K01229|
LPP_ECO57 Major outer membrane lipoprotein OS=Escherichia coli O157:H7 GN=lpp PE=3 SV=1,1396,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P69778,K06078|
LPP_YERPS Major outer membrane lipoprotein OS=Yersinia pseudotuberculosis serotype I (strain IP32953) GN=lpp PE=3 SV=1,1397,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pseudotuberculosis,UniRef50_Q8ZDZ6,K06078|
LPQH_MYCBO Lipoprotein LpqH OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=lpqH PE=3 SV=1,1398,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium bovis,UniRef50_P31502,K14953|
LPXB_ALKEH Lipid-A-disaccharide synthase OS=Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1) GN=lpxB PE=3 SV=1,1399,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii,UniRef50_A4XWS8,K00748|
LPXD1_GLOVI UDP-3-O-acylglucosamine N-acyltransferase 1 OS=Gloeobacter violaceus (strain PCC 7421) GN=lpxD1 PE=3 SV=1,1400,Bacteria,unassigned,Cyanobacteria,Gloeobacteria,Gloeobacterales,unassigned,Gloeobacter,Gloeobacter violaceus,UniRef50_Q7NJG8,K02536|
LUXM_VIBHA Acyl-homoserine-lactone synthase LuxM OS=Vibrio harveyi GN=luxM PE=1 SV=2,1401,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi,UniRef50_P54298,|K13062|
LUXS_LACRE S-ribosylhomocysteine lyase OS=Lactobacillus reuteri GN=luxS PE=3 SV=1,1402,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus reuteri,UniRef50_Q8G568,|
B3AT_HUMAN Band 3 anion transport protein OS=Homo sapiens GN=SLC4A1 PE=1 SV=3,1403,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P02730,K06573|
LV1C_MOUSE Ig lambda-1 chain V region S178 OS=Mus musculus PE=1 SV=1,1404,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P01724,|
"ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",1405,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P40939,K07515|
IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,1406,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q14974,K14293|
LYPA1_RAT Acyl-protein thioesterase 1 OS=Rattus norvegicus GN=Lypla1 PE=1 SV=1,1407,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_O75608,K06128|
LYSC_PHOVI Lysozyme C OS=Phoca vitulina GN=LYZ PE=2 SV=1,1408,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P80189,|
LYSC_SAISC Lysozyme C OS=Saimiri sciureus GN=LYZ PE=2 SV=1,1409,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P61626,|
LZIC_DICDI Protein LZIC OS=Dictyostelium discoideum GN=lzic PE=2 SV=1,1410,Eukaryota,unassigned,unassigned,unassigned,Dictyosteliida,unassigned,Dictyostelium,Dictyostelium discoideum,UniRef50_Q28D79,|
M280_ARATH Putative uncharacterized mitochondrial protein AtMg00280 OS=Arabidopsis thaliana GN=AtMg00280 PE=5 SV=1,1411,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,UniRef50_P93292,|
MAAT1_MACFA Protein MAATS1 OS=Macaca fascicularis GN=MAATS1 PE=2 SV=2,1412,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,UniRef50_Q7Z4T9,|
MAL12_MALDO Major allergen Mal d 1 OS=Malus domestica PE=1 SV=3,1413,Eukaryota,Viridiplantae,Streptophyta,unassigned,Rosales,Rosaceae,unassigned,unassigned,UniRef50_P43211,|
MALCR_PSEAE Methyl-accepting chemotaxis protein PA2652 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2652 PE=3 SV=1,1414,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,UniRef50_Q9I0I6,K03406|
MALE_ECOLI Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1,1415,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P19576,|K10108|
MATK_ADICA Maturase K OS=Adiantum capillus-veneris GN=matK PE=2 SV=2,1416,Eukaryota,Viridiplantae,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum capillus-veneris,UniRef50_Q85FP0,|
MBOA1_MOUSE Lysophospholipid acyltransferase 1 OS=Mus musculus GN=Mboat1 PE=1 SV=1,1417,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_Q8BH98,K13517|
MCE_PYRHO Methylmalonyl-CoA epimerase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) GN=PH0272 PE=1 SV=1,1418,Archaea,unassigned,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,UniRef50_O58010,K05606|
MCRA_METTH Methyl-coenzyme M reductase subunit alpha OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) GN=mcrA PE=1 SV=3,1419,Archaea,unassigned,Euryarchaeota,Methanobacteria,Methanobacteriales,unassigned,unassigned,unassigned,UniRef50_P11558,K00399|
MCRG_METTM Methyl-coenzyme M reductase I subunit gamma OS=Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) GN=mcrG PE=1 SV=3,1420,Archaea,unassigned,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,unassigned,UniRef50_P11562,K00402|
MD37D_ARATH Probable mediator of RNA polymerase II transcription subunit 37c OS=Arabidopsis thaliana GN=MED37D PE=1 SV=2,1421,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P22954,K03283|
MD37E_ARATH Probable mediator of RNA polymerase II transcription subunit 37e OS=Arabidopsis thaliana GN=MED37E PE=1 SV=3,1422,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P22953,K03283|
MDH_AKKM8 Malate dehydrogenase OS=Akkermansia muciniphila (strain ATCC BAA-835 / Muc) GN=mdh PE=3 SV=1,1423,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_A0LFF8,K00024|
MDH_ANAVT Malate dehydrogenase OS=Anabaena variabilis (strain ATCC 29413 / PCC 7937) GN=mdh PE=3 SV=1,1424,Bacteria,unassigned,Cyanobacteria,unassigned,Nostocales,Nostocaceae,Anabaena,Anabaena variabilis,UniRef50_Q8YP78,K00024|
MDH_BACFR Malate dehydrogenase OS=Bacteroides fragilis (strain YCH46) GN=mdh PE=3 SV=1,1425,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned,UniRef50_Q5WEG2,K00024|
MDH_CYTH3 Malate dehydrogenase OS=Cytophaga hutchinsonii (strain ATCC 33406 / NCIMB 9469) GN=mdh PE=3 SV=1,1426,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P49814,K00024|
MDH_ECO7I Malate dehydrogenase OS=Escherichia coli O7:K1 (strain IAI39 / ExPEC) GN=mdh PE=3 SV=1,1427,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_Q7VP41,K00024|
MDH_HISS2 Malate dehydrogenase OS=Histophilus somni (strain 2336) GN=mdh PE=3 SV=1,1428,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_Q6D9D1,K00024|
MDH_IDILO Malate dehydrogenase OS=Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR) GN=mdh PE=3 SV=1,1429,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_P44427,K00024|
MDH_KLEPN Malate dehydrogenase (Fragments) OS=Klebsiella pneumoniae GN=mdh PE=1 SV=1,1430,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,UniRef50_P0C1G4,|
MDH_MANSM Malate dehydrogenase OS=Mannheimia succiniciproducens (strain MBEL55E) GN=mdh PE=3 SV=1,1431,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,Mannheimia succiniciproducens,UniRef50_Q65T37,K00024|
MDH_PROMH Malate dehydrogenase OS=Proteus mirabilis (strain HI4320) GN=mdh PE=3 SV=1,1432,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Proteus mirabilis,UniRef50_B4F2A1,K00024|
MDH_SALPA Malate dehydrogenase OS=Salmonella paratyphi A (strain ATCC 9150 / SARB42) GN=mdh PE=3 SV=2,1433,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P40926,K00024|
MDH_SHISS Malate dehydrogenase OS=Shigella sonnei (strain Ss046) GN=mdh PE=3 SV=1,1434,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_Q9KUT3,K00024|
